region,date,cpi_inflation,unemployment_rate,hpi_nominal_growth,vacancy_rate
CAN_NL,2010-04-01,0.004286939125464517,0.15133333333333332,0.013479052823315074,
CAN_NL,2010-07-01,0.00512236767216856,0.14466666666666667,0.0028756290438534116,
CAN_NL,2010-10-01,0.0028312570781425794,0.13966666666666666,0.028673835125448077,
CAN_NL,2011-01-01,0.015245623941276154,0.12433333333333332,0.016027874564459976,
CAN_NL,2011-04-01,0.011957730812013345,0.12533333333333332,-0.0017146776406035125,
CAN_NL,2011-07-01,0.005496015388843034,0.1343333333333333,-0.0013740982480247022,
CAN_NL,2011-10-01,0.002732987154960398,0.136,0.0,
CAN_NL,2012-01-01,0.0068138457345325865,0.13266666666666665,-0.003095975232198289,
CAN_NL,2012-04-01,0.010286951813752054,0.128,0.003795721187025425,
CAN_NL,2012-07-01,-0.00294748124330102,0.12866666666666668,0.006875214850464051,
CAN_NL,2012-10-01,0.0013437248051597628,0.11833333333333335,-0.0013656538067599033,
CAN_NL,2013-01-01,0.007246376811594235,0.12200000000000001,0.002051282051282133,
CAN_NL,2013-04-01,0.006661337596589378,0.12233333333333335,0.010576595018764845,
CAN_NL,2013-07-01,0.002382212811011142,0.11466666666666667,0.008102633355840716,
CAN_NL,2013-10-01,0.004224980195405292,0.11966666666666667,0.0006697923643668169,
CAN_NL,2014-01-01,0.006310807257428275,0.121,0.0010040160642572626,
CAN_NL,2014-04-01,0.011497256336556072,0.127,0.0010030090270811698,
CAN_NL,2014-07-01,0.0,0.132,-0.0010020040080159776,
CAN_NL,2014-10-01,-0.008783260139498927,0.12266666666666666,0.0013373453694416337,
CAN_NL,2015-01-01,-0.0028668230388322336,0.125,0.0006677796327214658,
CAN_NL,2015-04-01,0.013591217982226844,0.135,-0.000667334000667541,0.026000000000000002
CAN_NL,2015-07-01,0.00412583806085598,0.12766666666666665,0.002671118530884753,0.024
CAN_NL,2015-10-01,-0.0046224961479196525,0.13533333333333333,0.001332001332001509,0.021
CAN_NL,2016-01-01,0.0038699690402477227,0.1393333333333333,0.00033255736614568043,0.017
CAN_NL,2016-04-01,0.01619121048573602,0.12299999999999998,0.0,0.019
CAN_NL,2016-07-01,0.01820940819423389,0.131,-0.0033244680851063357,0.019
CAN_NL,2016-10-01,0.0004967709885741467,0.14833333333333334,0.0006671114076051143,0.015
CAN_NL,2017-01-01,0.006951340615690249,0.149,-0.004333333333333411,0.015
CAN_NL,2017-04-01,0.0009861932938854956,0.15133333333333332,-0.001004352192835678,0.02
CAN_NL,2017-07-01,0.0034482758620688614,0.151,-0.004021447721179405,0.016
CAN_NL,2017-10-01,0.003927344133529909,0.15066666666666667,-0.0010094212651415857,0.016
